aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
alirón	 1. m. Ar. alón1. alirón2. (Del ár. hisp. ali‘lán, y este del ár. clás. al'il‘lān, proclamación). 1. interj. U. para celebrar la victoria en una competición deportiva. U. t. c. s. Cantar, entonar el alirón. 
alirrojo	 1. adj. De alas rojas. □ V. tordo alirrojo zorzal alirrojo 
alisador	 1. adj. Que alisa. U. t. c. s. 2. adj. Dicho de un instrumento: Que sirve para alisar o quitar asperezas. U. m. c. s. 
alisadura	 1. f. desus. Acción y efecto de alisar. 2. f. pl. p. us. Partes menudas que quedan de la madera, piedra u otra cosa que se ha alisado. 
alisal	 1. m. alisar1. 
alisar	 1. m. Sitio poblado de alisos. alisar2. (De liso). 1. tr. Poner liso algo. U. t. c. prnl. 2. tr. Arreglar el cabello pasando ligeramente el peine sobre él. 
aliseda	 1. f. alisar1. 
alisios	 1. m. pl. vientos alisios. 
alisma	 1. f. Planta perenne de la familia de las Alismatáceas, que crece en terrenos pantanosos, hasta unos 60 cm de altura, con hojas acorazonadas, ovales o lanceoladas, flores blanquecinas en panoja piramidal sobre un escapo desnudo, fruto seco y semilla sin albumen. 
alismáceo	 1. adj. Bot. alismatáceo. U. t. c. s. f. 
alismatáceo	 1. adj. Bot. Se dice de las plantas angiospermas monocotiledóneas acuáticas, comúnmente perennes, con rizoma feculento, hojas radicales, bohordo, flores solitarias o en umbela, racimo, verticilo o panoja, y frutos secos en aquenio o folículo, con semillas sin albumen; p. ej., la alisma y el junco florido. U. t. c. s. f. 2. f. pl. Bot. Familia de estas plantas. ORTOGR. Escr. con may. inicial. 
aliso	 1. m. Árbol de la familia de las Betuláceas, de unos diez metros de altura, copa redonda, hojas alternas, trasovadas y algo viscosas, flores blancas en corimbos y frutos comprimidos, pequeños y rojizos. 2. m. Madera de este árbol, que se emplea en la construcción de instrumentos musicales y otros objetos. ~ negro. 1. m. arraclán1. aliso2. (Del lat. *alyssum, y este del gr. ἄλυσσον). 1. m. marrubio. 
alistado	 1. adj. listado (‖ que forma listas). 
alistador	 1. m. Encargado de alistar (‖ inscribir en lista). alistador2. 1. m. C. Rica, Hond. y Nic. Operario que prepara y cose las piezas del calzado. 
alistamiento	 1. m. Acción y efecto de alistar o alistarse. 2. m. Conjunto de mozos a quienes cada año obliga el servicio militar. 
alistar	 1. tr. Sentar o inscribir en lista a alguien. U. t. c. prnl. 2. prnl. Sentar plaza en la milicia. alistar2. (De listo). 1. tr. Prevenir, aprontar, aparejar, disponer. 2. tr. espabilar (‖ avivar y ejercitar el entendimiento de alguien). U. t. c. intr. 3. tr. Arreglar, vestir, ataviar. U. t. c. prnl. 4. tr. C. Rica y Nic. Preparar y coser las piezas del calzado. 
aliteración	 1. f. Ret. Repetición notoria del mismo o de los mismos fonemas, sobre todo consonánticos, en una frase. 2. f. Ret. Figura que, mediante la repetición de fonemas, sobre todo consonánticos, contribuye a la estructura o expresividad del verso. 
aliterado	 1. adj. Que tiene aliteración. 
alitierno	 1. m. aladierna. 
aliviadero	 1. m. Vertedero de aguas sobrantes embalsadas o canalizadas. 
aliviador	 1. adj. Que alivia. U. t. c. s. 2. m. Palanca que en los molinos harineros sirve para levantar o bajar la piedra, de modo que la harina pueda salir más o menos fina. 3. m. germ. Ladrón que recibe y se lleva, para ponerlo en cobro, el hurto que otro hace. 
aliviamiento	 1. m. desus. Acción y efecto de aliviar o aliviarse. 
alivianar	 1. tr. desus. aliviar. U. en América. 2. tr. El Salv. matar (‖ quitar la vida). 3. tr. jerg. El Salv. regalar (‖ dar). 
aliviar	 1. tr. aligerar (‖ hacer menos pesado). 2. tr. Quitar a alguien o algo parte del peso que sobre él o ello carga. U. t. c. prnl. 3. tr. Dejar que un líquido salga por el aliviadero de un recipiente, para evitar que sobrepase un determinado nivel de este. 4. tr. Disminuir o mitigar las enfermedades, las fatigas del cuerpo o las aflicciones del ánimo. 5. tr. Descargar de superfluidades el cuerpo o sus órganos. U. t. c. prnl. 6. tr. Acelerar el paso, aligerar o abreviar alguna actividad. U. m. c. intr. 7. tr. p. us. soliviar. 8. prnl. Taurom. Disminuir el riesgo de las suertes, especialmente al estoquear, no estrechándose con el toro, o aprovechando sus querencias para el remate del lance. 9. prnl. Méx. dar a luz (‖ parir). ¶ MORF. conjug. c. anunciar. 
alivio	 1. m. Acción y efecto de aliviar o aliviarse. 2. m. Atenuación de las señales externas de duelo una vez transcurrido el tiempo de luto riguroso. de ~. 1. loc. adj. coloq. U. para expresar ponderación o exageración. Agarró un catarro de alivio. irse de ~. 1. loc. verb. coloq. Chile. Ejecutar una acción, aprovechando ayuda ajena. 
alivioso	 1. adj. desus. Que da o procura alivio. 
alizace	 1. m. ant. Zanja, y en especial la que se abre para poner en ella los cimientos de un edificio. 
alizar	 1. m. Cinta o friso de azulejos de diferentes labores en la parte inferior de las paredes de los aposentos. 2. m. Cada uno de estos azulejos. 
alizarina	 1. f. Materia colorante que se extrae de la rubia (‖ raíz). 
aljaba	 1. f. Caja portátil para flechas, ancha y abierta por arriba, estrecha por abajo y pendiente de una cuerda o correa con que se colgaba del hombro izquierdo a la cadera derecha. 
aljabibe	 1. m. desus. ropavejero. 
aljama	 1. f. Junta de moros o judíos. 2. f. sinagoga (‖ templo judío). 3. f. Morería o judería. aljama2. (Del ár. hisp. alǧáma‘, y este del ár. clás. ǧāmi‘). 1. f. mezquita. 
aljamel	 1. m. And. alhamel. 
aljamiado	 1. adj. Que hablaba la aljamía. 2. adj. Escrito en aljamía. 
aljarafe	 1. m. ajarafe. 
aljaraz	 1. m. p. us. Campanilla o esquila. 
aljarfa	 1. f. Parte central y más tupida del aljerife. 
aljarfe	 1. f. Parte central y más tupida del aljerife. 
aljecería	 1. f. yesería. 
aljecero	 1. m. yesero (‖ que fabrica o vende yeso). 
aljemifao	 1. m. desus. mercero. 
aljerife	 1. m. Red muy grande usada para pescar en las riberas de los ríos. 
aljerifero	 1. m. Pescador de aljerife. 
aljez	 1. m. Mineral de yeso. 
aljezar	 1. m. yesar. 
aljezón	 1. m. yesón. 
aljibe	 1. m. cisterna (‖ depósito subterráneo de agua). 2. m. Depósito destinado al transporte de un líquido. U. en apos. Camión, buque, vagón aljibe. 3. m. Mar. Embarcación o buque acondicionados para el transporte de agua dulce. 4. m. Mar. Cada una de las cajas de chapa de hierro en que se tiene el agua a bordo. 5. m. Col. y Ven. pozo (‖ perforación para buscar agua). 6. m. desus. Cárcel subterránea. □ V. bóveda de aljibe 
aljibero	 1. m. Encargado de cuidar de los aljibes. 
aljofaina	 1. f. jofaina. 
aljófar	 1. m. Perla de forma irregular y, comúnmente, pequeña. 2. m. Conjunto de perlas de esta clase. 3. m. Cosa parecida al aljófar, como las gotas de rocío. 
aljofarar	 1. tr. Cubrir o adornar con aljófar algo. 2. tr. poét. Hacer que algo parezca formado de aljófar o cubrirlo o adornarlo con algo que lo imite. 
aljofifa	 1. f. Pedazo de paño basto de lana para fregar el suelo. 
aljofifar	 1. tr. Fregar con aljofifa. 
aljonje	 1. m. ajonje. 
aljonjera	 1. f. ajonjera. 
aljonjero	 1. m. ajonjero. □ V. cardo aljonjero 
aljonjolí	 1. m. ajonjolí (‖ planta pedaliácea). 2. m. Simiente de esta planta. 
aljor	 1. m. aljez. 
aljorca	 1. f. desus. ajorca. 
aljuba	 1. f. Vestidura morisca usada también por los cristianos, consistente en un cuerpo ceñido en la cintura, abotonado, con mangas y falda que solía llegar hasta las rodillas. 
aljuma	 1. f. Alb. y And. pinocha1. 2. f. And. Pimpollo o tallo nuevo de una planta. 
alkermes	 1. m. alquermes. 
allanabarrancos	 1. com. Ál. y Ar. Persona a quien todo le parece fácil. 
allanador	 1. adj. Que allana. U. t. c. s. 
allanamiento	 1. m. Acción y efecto de allanar o allanarse. 2. m. Acto de conformarse con una demanda o decisión. 3. m. Am. Registro policial de un domicilio. ~ de morada. 1. m. Der. Delito que comete quien, sin habitar en ella, entra o se mantiene en morada ajena contra la voluntad de su ocupante. 
allanar	 1. tr. Poner llano o plano. U. t. c. intr. y c. prnl. 2. tr. Dejar o poner expedito y transitable un camino u otro lugar de paso. U. t. en sent. fig. 3. tr. Derribar una construcción. 4. tr. Rellenar un terreno hasta que quede al nivel del suelo. 5. tr. Entrar en casa ajena contra la voluntad de su dueño. 6. tr. Vencer o superar alguna dificultad o inconveniente. 7. tr. Am. Registrar un domicilio con mandamiento judicial. 8. tr. desus. Pacificar, aquietar, sujetar. 9. prnl. Dicho de un edificio: Venirse abajo. 10. prnl. Conformarse, avenirse, acceder a algo. 11. prnl. Dicho de una persona: Igualarse o ponerse a la misma altura de otra u otras que normalmente le son inferiores. 
allariz	 1. m. Lienzo labrado en Allariz, villa de Galicia, España. 
allegadera	 1. f. Ál. y Rioja. aparvadera. 
allegadizo	 1. adj. Que se allega o junta sin elección y para aumentar el número. 
allegado	 1. adj. Cercano o próximo en el espacio o en el tiempo. 2. adj. Dicho de una persona: Cercana o próxima a otra en parentesco, amistad, trato o confianza. U. t. c. s. 3. adj. Arg., Chile, P. Rico y Ur. Dicho de una persona: Que vive transitoriamente en casa ajena, por lo común sin ser pariente del dueño. U. t. c. s. 
allegador	 1. adj. Que allega. U. t. c. s. 2. m. Rastro o tabla de madera para allegar la parva trillada. 3. m. hurgón (‖ instrumento para atizar la lumbre). 
allegamiento	 1. m. Acción de allegar o allegarse. 2. m. ant. Reunión o concurso de personas o cosas allegadas. 3. m. ant. Aproximación, unión, estrechez. 4. m. ant. parentesco. 5. m. ant. coito. 
alleganza	 1. f. ant. allegamiento (‖ parentesco). 2. f. ant. allegamiento (‖ acción de allegar). 3. f. ant. llegada. 
allegar	 1. tr. Recoger, juntar. 2. tr. Arrimar o acercar algo a otra cosa. U. t. c. prnl. 3. tr. Reunir o agrupar. 4. tr. Agregar, añadir. 5. tr. Dar o procurar algo a alguien. 6. tr. Obtener, conseguir. 7. intr. llegar (‖ a un lugar). U. t. c. prnl. 8. intr. desus. Dicho de una persona: Conocer carnalmente a otra. Era u. m. c. prnl. 9. prnl. Adherirse a un dictamen o idea, convenir con ellos. 
allén	 1. adv. l. p. us. allende (‖ de la parte de allá). 
allende	 1. adv. l. De la parte de allá. 2. adv. c. además. 3. prep. Más allá de, de la parte de allá de. 4. prep. Además de, fuera de. Allende DE ser hermosa, era discreta. 
allora	 1. adv. t. desus. alora. 
alloza	 1. f. almendruco. 
allozar	 1. m. desus. Lugar poblado de allozos. 
allozo	 1. m. Almendro, especialmente el silvestre. 
alludel	 1. m. aludel. 
alma	 1. f. Principio que da forma y organiza el dinamismo vegetativo, sensitivo e intelectual de la vida. 2. f. En algunas religiones y culturas, sustancia espiritual e inmortal de los seres humanos. 3. f. Vida humana. Arrancarle a alguien el alma 4. f. Principio sensitivo que da vida e instinto a los animales, y vegetativo que nutre y acrecienta las plantas. 5. f. Persona, individuo, habitante. U. m. en pl. Una población de 20 000 almas. U. t. en sing. en frs. negs. No se ve un alma en la calle 6. f. Sustancia o parte principal de cualquier cosa. 7. f. Viveza, espíritu, energía. Hablar, representar con alma 8. f. Aquello que da espíritu, aliento y fuerza a algo. El amor a la patria es el alma de los Estados 9. f. Persona que la impulsa o inspira. Fulano fue el alma del movimiento 10. f. Cosa que se mete en el hueco de algunas piezas de poca consistencia para darles fuerza y solidez, como el palo que se mete en hacheros de metal, varas de palio, etc. 11. f. Hueco o parte vana de algunas cosas, y especialmente, ánima del cañón. 12. f. ánima (‖ del purgatorio). 13. f. Pieza de hierro forjado que forma el recazo y espiga de la espada y en la parte correspondiente a la hoja va envuelta por las dos tejas de acero. 14. f. En los instrumentos de cuerda que tienen puente, como el violín, el contrabajo, etc., palo que se pone entre sus dos tapas para que se mantengan a igual distancia. 15. f. Arq. Madero que, asentado y fijo verticalmente, sirve para sostener los otros maderos o los tablones de los andamios. ~ de caballo. 1. f. coloq. Persona que sin escrúpulo alguno comete maldades. ~ de Caín. 1. f. Persona aviesa o cruel. ~ de cántaro. 1. f. coloq. Persona sumamente ingenua, pasmada o insensible. ~ de Dios. 1. f. Persona muy bondadosa y sencilla. ~ de Judas. 1. f. alma de Caín. ~ del negocio. 1. f. Objeto verdadero de él, su móvil verdadero, secreto o principal. ~ de perro. 1. f. Hond. correcaminos. ~ en pena. 1. f. La que padece en el purgatorio. 2. f. alma errante, sin reposo definitivo. 3. f. Persona que anda sola, triste y melancólica. ~ nacida. 1. f. Toda persona. U. con neg. ~ perdida. 1. f. Ave del Perú, que vive en lugares solitarios de las montañas y cuyo canto, semejante a chillidos lastimeros, se oye de noche y al amanecer. ~ viviente. 1. f. alma nacida. abrir alguien su ~ a otra persona. 1. loc. verb. coloq. abrir su pecho a otra persona. agradecer con, o en, el ~ algo. 1. locs. verbs. coloqs. Agradecerlo vivamente. ~ mía. 1. loc. interj. Denota cariño. arrancarle a alguien el ~. 1. loc. verb. Quitarle la vida. arrancársele a alguien el ~. 1. loc. verb. Sentir gran dolor o conmiseración por algún suceso lastimoso. caérsele a alguien el ~ a los pies. 1. loc. verb. coloq. Abatirse, desanimarse por no corresponder la realidad a lo que esperaba o creía. clavársele a alguien algo en el ~. 1. loc. verb. Sentirlo mucho, quedar fuertemente afectado u ofendido por ello. como ~ que lleva el diablo. 1. loc. adv. coloq. Con extraordinaria ligereza o velocidad y gran agitación o perturbación del ánimo. Ir, salir como alma que lleva el diablo con el ~, o con toda el ~, o con mil ~s. 1. locs. advs. coloqs. con el alma y con la vida. con el ~ y con la vida, o y la vida. 1. locs. advs. Con mucho gusto, de muy buena gana. dar el ~, o dar el ~ a Dios. 1. locs. verbs. Expirar, morir. dar alguien el ~ al diablo. 1. loc. verb. coloq. Atropellar todo para hacer su gusto. darle, o decirle, a alguien el ~ algo. 1. locs. verbs. darle el corazón. despedir el ~. 1. loc. verb. dar el alma. echar el ~. 1. loc. verb. Afanarse, trabajar excesivamente. echar, o echarse, el ~ atrás, o a las espaldas. 1. locs. verbs. coloqs. Proceder sin atenerse a los dictados de la conciencia o prescindiendo de todo respeto. encomendar el ~. 1. loc. verb. recomendar el alma. 2. loc. verb. Confiar el alma a Dios al sentirse próximo a morir. en el ~. 1. loc. adv. entrañablemente. Sentir, doler, alegrarse en el alma entregar el ~, o entregar el ~ a Dios. 1. locs. verbs. dar el alma. estar alguien como el ~ de Garibay. 1. loc. verb. coloq. No hacer ni deshacer ni tomar partido en algo. estar alguien con el ~ en la boca, o entre los dientes. 1. locs. verbs. coloqs. Estar para morir. 2. locs. verbs. coloqs. Padecer tan gran temor que parece que está en riesgo de morir. estar con el ~ en un hilo. 1. loc. verb. coloq. Estar agitado por el temor de un grave riesgo o trabajo. exhalar el ~. 1. loc. verb. dar el alma. hablar alguien al ~ a otra persona. 1. loc. verb. Hablarle con claridad y verdad, sin contemplación ni lisonja. 2. loc. verb. coloq. Hablarle con gran interés, procurando persuadirla, conmoviéndola. írsele el ~ a alguien por, o tras, algo. 1. locs. verbs. coloqs. Apetecerlo con ansia. llegarle a alguien al ~ algo. 1. loc. verb. Sentirlo vivamente. llevar a alguien en el ~. 1. loc. verb. coloq. Quererlo entrañablemente. llevar algo tras sí el ~ a alguien. 1. loc. verb. Moverle y atraerle con mucha fuerza. manchar el ~. 1. loc. verb. Afearla con el pecado. mi ~. 1. loc. interj. alma mía. no tener ~. 1. loc. verb. No tener compasión ni caridad. 2. loc. verb. No tener conciencia. 3. loc. verb. Ser indiferente a cuanto puede mover el ánimo. partir el ~ a alguien. 1. loc. verb. coloq. Castigar violentamente. partir algo el ~. 1. loc. verb. Causar gran tristeza, dolor o sufrimiento. partírsele a alguien el ~. 1. loc. verb. Sentir gran compasión. paseársele a alguien el ~ por el cuerpo. 1. loc. verb. coloq. Ser muy calmoso e indolente. perder el ~. 1. loc. verb. coloq. condenarse (‖ incurrir en la pena eterna). pesarle a alguien en el ~ algo. 1. loc. verb. Arrepentirse o dolerse vivamente de ello. quedar como el ~ de Garibay. 1. loc. verb. coloq. estar como el alma de Garibay. recomendar el ~. 1. loc. verb. Decir las preces que la Iglesia tiene dispuestas en favor de quienes están en la agonía. rendir el ~, o rendir el ~ a Dios. 1. locs. verbs. dar el alma. romper a alguien el ~. 1. loc. verb. coloq. descalabrar (‖ herir en la cabeza). sacar alguien el ~ a otra persona. 1. loc. verb. coloq. Matarla o hacerle mucho mal. Se dice ordinariamente amenazando. 2. loc. verb. coloq. Hacerle gastar cuanto tiene. sacar a alguien el ~ de pecado. 1. loc. verb. coloq. Hacer con arte que diga o conceda lo que no quería. salírsele a alguien el ~. 1. loc. verb. dar el alma. tener el ~ bien puesta. 1. loc. verb. coloq. Tener ánimo y resolución. tener el ~ en, o entre, los dientes. 1. locs. verbs. coloqs. estar con el alma en la boca. tener el ~ en un hilo. 1. loc. verb. coloq. estar con el alma en un hilo. tener el ~ parada. 1. loc. verb. coloq. No discurrir ni usar las potencias como se debiera. tener alguien en el ~, o sobre el ~, a otra persona. 1. locs. verbs. coloqs. Tenerla presente en sus desgracias, sintiéndolas y deseando remediarlas. tener más ~s que un gato; o tener siete ~s como gato, o como un gato. 1. locs. verbs. coloqs. tener siete vidas como los gatos. tener alguien su ~ en su almario, en su cuerpo, o en sus carnes. 1. locs. verbs. coloqs. Tener facultad y aptitud para hacer algo. 2. locs. verbs. coloqs. tener el alma bien puesta. tocarle a alguien en el ~. 1. loc. verb. tocarle en el corazón. tocarle a alguien en el ~ algo. 1. loc. verb. llegarle al alma. traer el ~ en la boca, o en las manos. 1. locs. verbs. coloqs. Estar padeciendo algún mal o trabajo y muy grande. volverle a alguien el ~ al cuerpo. 1. loc. verb. coloq. Librarle de algún grave cuidado o temor. □ V. altar de alma cuerpo sin alma cura de almas Juan de buen alma padre de almas pedazo del alma recomendación del alma alma2. (Del hebr. ‘almá). 1. f. p. us. Virgen, doncella. almo, ma. (Del lat. almus, de alĕre, alimentar). 1. adj. poét. Criador, alimentador, vivificador. Alma Ceres. 2. adj. poét. Excelente, benéfico, santo, digno de veneración. 
almacabra	 1. m. Antiguo cementerio de moros. 
almacén	 1. m. Edificio o local donde se depositan géneros de cualquier especie, generalmente mercancías. 2. m. Local donde los géneros en él existentes se venden, por lo común, al por mayor. 3. m. Impr. Cada una de las cajas que contiene un juego de matrices de un mismo tipo con que trabaja una linotipia. 4. m. Am. Tienda donde se venden artículos domésticos de primera necesidad. 5. m. Ec. Local para abrir tienda de comercio. 6. m. Col. y Ec. Tienda de comercio. 7. m. Hond. Tienda en donde se venden telas y, a veces, ropa. 8. m. desus. Conjunto de municiones y pertrechos de guerra. 9. m. pl. Establecimiento comercial donde se venden géneros al por menor. ~ de agua. 1. m. Mar. Aljibe que se instalaba generalmente en la cubierta principal del buque para servicio inmediato de la marinería. Antiguamente se utilizaba por medio de vasos o grifos, y después mediante unos tubos que penetran casi hasta el fondo del agua y terminan, al exterior, en unos pezones o chupadores de plata, por los que se hace la succión. ~ de rezago. 1. m. Chile. Lugar donde se almacena la mercancía importada que no se rescata oportunamente. grandes almacenes. 1. m. pl. Gran establecimiento dividido en departamentos, donde se venden productos de todo género. gastar ~, o mucho ~. 1. locs. verbs. coloqs. p. us. Gastar muchas palabras y usar grandes ponderaciones para explicar algo de poca entidad. 
almacenaje	 1. m. almacenamiento. 2. m. Derecho que se paga por guardar las cosas en un almacén o depósito. 
almacenamiento	 1. m. Acción y efecto de almacenar. 
almacenar	 1. tr. Poner o guardar en almacén. 2. tr. Reunir o guardar muchas cosas. 3. tr. Inform. Registrar información en la memoria de un ordenador. 
almacenero	 1. m. y f. almacenista. 2. m. y f. Persona que se ocupa de atender los servicios de un almacén. 3. m. y f. Arg., Bol., Par. y Ur. Persona que atiende un almacén (‖ tienda de artículos de primera necesidad). 
almacenista	 1. com. Dueño de un almacén. 2. com. Persona que despacha los géneros que en él se venden. 
almaceno	 1. adj. Se dice de la ciruela damascena. 
almacería	 1. f. Cámara alta de una casa con acceso independiente. almacería2. (Del lat. macĕria, infl. por almacería1). 1. f. Tapia de una huerta o casa de campo. 
almáciga	 1. f. Resina clara, translúcida, amarillenta y algo aromática que se extrae de una variedad de lentisco. □ V. barniz de almáciga almáciga2. (Del ár. hisp. almásqa, y este del ár. clás. masqāh, depósito de agua). 1. f. Lugar donde se siembran y crían los vegetales que luego han de trasplantarse. 
almacigar	 1. tr. Sahumar o perfumar con almáciga1. 
almácigo	 1. m. lentisco. 2. m. Árbol de la isla de Cuba, de la familia de las Burseráceas, que llega hasta ocho metros de altura. Tiene el tallo cubierto de una telilla fina y transparente que le da un brillo cobrizo; su fruto sirve de alimento a los cerdos; sus hojas, de pasto a las cabras, y su resina se emplea para curar los resfriados, y también como remedio vulnerario y diaforético. almácigo2. 1. m. almáciga2. 
almaciguero	 1. adj. Perteneciente o relativo a la almáciga2. 
almádana	 1. f. almádena. 
almadearse	 1. prnl. p. us. almadiarse. 
almadén	 1. m. desus. Mina o minero de algún metal. 
almádena	 1. f. Mazo de hierro con mango largo, para romper piedras. 
almadía	 1. f. canoa (‖ embarcación de remo). 2. f. armadía (‖ conjunto de maderos unidos para poder conducirlos flotando). 
almadiar	 1. intr. Sentir mareo. U. m. c. prnl. MORF. conjug. c. enviar. 
almadiero	 1. m. Hombre que conduce o dirige la almadía. 
almadraba	 1. f. Pesca de atunes. 2. f. Lugar donde se hace esta pesca y donde posteriormente se prepara el pescado. 3. f. Red o cerco de redes con que se pescan atunes. 4. f. Tiempo en que se pesca el atún. Era u. t. en pl. con el mismo significado que en sing. 5. f. desus. tejar1. ~ de buche. 1. f. Pesca que se hace con atajadizos, por donde los atunes entran en un cerco de redes del cual no pueden salir. ~ de monteleva. 1. f. La que se hace al paso de los atunes. ~ de tiro, o ~ de vista. 1. f. La que se hace de día y con redes a mano donde hay muchas corrientes. 
almadrabero	 1. adj. Perteneciente o relativo a la almadraba de atunes. 2. m. Hombre que se ocupa en el ejercicio de la almadraba de atunes. 3. m. p. us. tejero. 
almadraque	 1. m. p. us. Cojín, almohada o colchón. 
almadreña	 1. f. zueco (‖ zapato de madera). 
almadreñero	 1. m. Fabricante o vendedor de almadreñas. 
almagacén	 1. m. desus. almacén. 
almágana	 1. f. Hond. almádena. 
almagra	 1. f. almagre (‖ óxido rojo de hierro). 
almagradura	 1. f. Acción y efecto de almagrar. 
almagral	 1. m. Terreno en que abunda el almagre (‖ óxido rojo de hierro). 
almagrar	 1. tr. Teñir de almagre. 2. tr. desus. Notar, señalar con alguna marca. 3. tr. desus. Entre rufianes y valentones, herir o lastimar de suerte que corra sangre. 
almagre	 1. m. Óxido rojo de hierro, más o menos arcilloso, abundante en la naturaleza, y que suele emplearse en la pintura. 2. m. desus. Marca, señal. 3. adj. Que tiene el color o el tono de almagre. U. t. c. s. 
almagrero	 1. adj. Dicho de un terreno: Que abunda en almagre (‖ óxido rojo de hierro). 
almahala	 1. f. desus. almofalla. 
almaizal	 1. m. almaizar. 2. m. Col. y Méx. velo humeral. 
almaizar	 1. m. Toca de gasa usada por los moros. 
almaizo	 1. m. almez. 
almaja	 1. f. Derecho que se pagaba en Murcia por algunos frutos cogidos en secano. 
almajal	 1. m. Terreno poblado de almarjos. 
almajaneque	 1. m. maganel. 
almajar	 1. m. ant. Manto de seda. almajar2. 1. m. Terreno poblado de almarjos. 
almajara	 1. f. Terreno abonado con estiércol reciente para que germinen prontamente las semillas. 
almaje	 1. m. Ál. dula (‖ conjunto de cabezas de ganado). 
almajo	 1. m. almarjo. 
almalafa	 1. f. Vestidura moruna que cubría el cuerpo desde los hombros hasta los pies. 
almanac	 1. m. desus. almanaque (‖ registro de los días del año). 
almanaca	 1. f. ant. Especie de collar. 
almanaque	 1. m. Registro o catálogo que comprende todos los días del año, distribuidos por meses, con datos astronómicos y noticias relativas a celebraciones y festividades religiosas y civiles. 2. m. Publicación anual que recoge datos, noticias o escritos de diverso carácter. Almanaque de teatros, político, gastronómico. 3. m. pl. coloq. Cuba. Años de edad. hacer ~s. 1. loc. verb. coloq. hacer calendarios. 
almanaquero	 1. m. y f. Persona que hace o vende almanaques. 
almancebe	 1. m. Especie de red que se usaba en el Guadalquivir, río de España. 
almandina	 1. f. granate almandino. 
almandino	□ V. granate almandino 
almanta	 1. f. entreliño. 2. f. Porción de tierra que se señala con dos surcos grandes para dirigir la siembra. poner a ~. 1. loc. verb. Poner plantas abundantes y sin orden. 
almarada	 1. f. Puñal agudo de tres aristas y sin corte. 2. f. Aguja grande para coser alpargatas. 3. f. Barreta cilíndrica de hierro, con un mango, usada en los hornos de fundición de azufre para desobstruir el conducto por donde pasa el azufre líquido desde el crisol al recipiente. 
almarbatar	 1. tr. Ensamblar dos piezas de madera. 
almarbate	 1. m. Madero cuadrado del alfarje, que une los pares o alfardas. 
almarcha	 1. f. Población situada en vega o tierra baja. 
almario	 1. m. armario. 
almarjal	 1. m. desus. Terreno poblado de almarjos. almarjal2. 1. m. marjal1. 
almarjo	 1. m. Cada una de la plantas que dan barrilla. 2. m. barrilla (‖ cenizas de esta planta). 
almaro	 1. m. maro. 
almarraja	 1. f. Vasija de vidrio, semejante a la garrafa, agujereada por el vientre, y que servía para rociar o regar. 
almarraza	 1. f. Vasija de vidrio, semejante a la garrafa, agujereada por el vientre, y que servía para rociar o regar. 
almártaga	 1. f. Especie de cabezada que se ponía a los caballos sobre el freno para tenerlos asidos cuando los jinetes se apeaban. almártaga2. (Del ár. hisp. almártaq o almártak, este del ár. clás. martak, y este del persa martak o mortak). 1. f. Quím. litargirio. 
almartigón	 1. m. Méx. Almártaga tosca que sirve para atar las bestias al pesebre. 
almástiga	 1. f. almáciga1. 
almastigado	 1. adj. Que tiene almástiga. 
almática	 1. f. desus. dalmática. 
almatriche	 1. m. Agr. reguera (‖ canal de riego). 
almatroque	 1. m. Red parecida al sabogal, usada antiguamente por los pescadores del Guadalquivir, río de España. 
almazara	 1. f. Molino de aceite. 
almazarero	 1. m. Encargado de una almazara. 
almazarrón	 1. m. almagre (‖ óxido rojo de hierro). 
almea	 1. f. azúmbar (‖ planta alismatácea). 2. f. estoraque (‖ bálsamo). 3. f. Corteza del estoraque, después que se le ha sacado toda la resina. almea2. (Del fr. almée, este del ár. dialect. ‘ālmeh, maestra de bailarinas o músicas, y este del ár. clás. ‘ālimah, entendida). 1. f. Entre los orientales, mujer que improvisa versos y canta y danza en público. 
almecina	 1. f. almeza. 
almecino	 1. m. And. almez. 
almeja	 1. f. Molusco lamelibranquio marino, con valvas casi ovales, mates o poco lustrosas por fuera, con surcos concéntricos y estrías radiadas muy finas; en su interior son blanquecinas y algo nacaradas. Su carne es comestible y muy apreciada. ~ de río. 1. f. Molusco lamelibranquio de agua dulce. Sus diversas especies abundan en varias partes del mundo y son bastante parecidas entre sí. Las valvas de sus conchas son gruesas y en su interior tienen una espesa capa de nácar. 
almejar	 1. m. Criadero de almejas. 
almena	 1. f. Cada uno de los prismas que coronan los muros de las antiguas fortalezas para resguardarse en ellas los defensores. 
almenado	 1. adj. Guarnecido o coronado de adornos o cosas en forma de almenas. 2. adj. Que tiene forma de almena. 3. m. almenaje. 
almenaje	 1. m. Conjunto de almenas. 
almenar	 1. m. Pie de hierro rematado en arandela erizada de púas donde se clavaban teas que, encendidas, servían para alumbrarse en las cocinas de las aldeas. almenar2. 1. tr. Guarnecer o coronar de almenas un edificio. 
almenara	 1. f. almenar1. 2. f. Fuego que se hacía en las atalayas o torres para dar aviso de algo, como de tropas enemigas o de la llegada de embarcaciones. 3. f. Candelero sobre el cual se ponían candiles de muchas mechas para alumbrar todo el aposento. almenara2. (Del ár. hisp. manhár, y este del ár. clás. manhar, arroyo). 1. f. Ter. y Zar. Zanja por la cual se conduce al río el agua que sobra en las acequias. 2. f. Zar. Compuerta para la distribución del agua de riego. 
